求职网站,公司名称,岗位名,需求数量,职责,能力要求,薪资待遇
智联招聘,中建五局,人工智能研究员,10000人以上,"1.具有计算机相关专业博士学位；  2.主要研究方向涉及深度学习、物理信息神经网络、大语言模型研究与开发，具有扎实的数学基础和机器学习算法功底；  3.致力于将物理定律与数据驱动模型相结合，开发物理信息驱动的神经网络或科学计算AI模型，提升模型的泛化性和预测精度，研究数字孪生与AI的深度融合，实现结构行为的实时仿真与未来状态的预测性维护，构建基于AI的结构健康诊断与安全预警原型系统；  4.精通Linux系统、Python，熟悉C++、Java编程，熟悉AI开发库和框架，如Tensorflow、Theano、Torch、Caffe、CNTK、MXNet、Keras,Scikit-learn、Numpy、CUDA等；  5.有建筑行业AI&IOT应用研发经验、熟悉Java、有后台开发经验、三维点云重建开发经验者优先。",,2-2.5万
智联招聘,中国联合网络通信有限公司湖南省分公司,资深平台产品经理（人工智能平台方向）,500-999人,岗位职责： • 负责人工智能相关平台（如智能体编排平台、数据标注平台、AI 应用管理平台等）的产品规划与全生命周期管理； • 结合市场趋势与用户需求，制定平台产品路线图，持续打磨产品核心能力； • 协调研发、算法、项目等团队资源，推进产品的设计、开发、测试与上线； • 深入理解人工智能与大模型应用生态，提出平台能力的演进与创新策略； • 建立面向政企客户的产品标准、交付模板和演示样例。,： • 本科及以上学历，35岁以下，5 年以上平台型产品经理经验； • 熟悉人工智能产品的架构与用户场景，具备跨部门协同推进大型产品的能力； • 具备较强的需求洞察、结构化思维与文案表达能力； • 有良好的项目管理与交付把控能力。 优先条件： • 有 AI 平台（如 Langchain、智能体平台、MLOps、PromptOps）、数据平台或多端协同平台的规划与落地经验； • 有智能终端类产品（如智能音箱、陪伴终端等）经验者优先； • 熟悉大模型能力集成与可视化配置平台者优先。,1.5-2.5万
智联招聘,沂泽信息咨询有限公司,技术经理人（商业航天/低空经济/人工智能方向）,10000人以上,岗位职责 重大项目挖掘与产业化推进：聚焦航天技术成果转化，构建“技术→产品→场景→产业”全链条，对接大湾区产业链资源，推动重大科技项目在地方孵化落地。 产业生态构建与资源整合：整合上下游产业链资源，挖掘商业机会，打造以航天技术为核心的产业化应用场景，形成可持续的成果转化模式。岗位,学历背景：硕士及以上学历（博士优先），人工智能、航空航天、电子信息、通信工程、金融等相关专业复合背景者优先。 工作经验：8年以上硬科技领域（商业航天、低空经济、AI等）产业研究、投资管理、成果转化或创新平台运营经验；5年以上团队管理经验，有产品/项目部门负责人经历者优先。 专业能力：精通科技成果转化全流程，主导过多个中大型技术转化或早期科技投资项目；熟悉科技类股权投资、基金运作、知识产权运营，能独立设计交易架构与商业模型。 战略与资源：具备出色的产业洞察与战略规划能力，能撰写高质量行业分析与投资报告；熟悉深圳及大湾区产业政策、创新环境，拥有政府、科研机构或龙头企业合作资源。 人脉与整合能力：在科研界、产业界、投资界拥有丰富的高层次人脉，具备强大的资源整合与生态构建能力。,4-5万
智联招聘,四川晟昇文化传播有限公司,人工智能ai产品销售经理,20-99人,工作内容：1. 负责公司AIGC产品市场拓展与客户开发，完成销售目标。2. 深度挖掘客户需求，结合AIGC技术特点提供定制化解决方案，推动客户签约与回款。3. 维护核心客户关系，建立长期合作机制，持续挖掘客户复购与转介绍价值。4. 对AI技术有深入了解，收集市场竞品信息与客户反馈，为产品迭代与销售策略优化提供数据支持。,：1. 大专及以上学历，具备2年以上销售经验，有AI行业或者科技类产品销售背景者优先。2. 具备较强的客户需求分析能力与商务谈判技巧，能独立完成从线索挖掘到签单的全流程。3. 对AIGC技术有一定认知，能快速理解产品核心优势并向客户清晰传递价值。4. 具备良好的抗压能力与团队协作精神，目标感强且执行力突出。补充说明：1. 待遇：无责底薪+高额提成+全勤+社保，综合1W+。多劳多得，上不封顶！！2. 工作时间：早九晚六，周末单双休，法定节假日正常放。3.公司定期团建活动+下午茶+每月聚餐+趣味节假日活动,5000-10000元
智联招聘,广州国家实验室,人工智能工程师,1000-9999人,岗位职责:1.负责收集、整理和标注相关的生物医学数据，包括图像、文本、生理信号等。运用数据分析技术，挖掘数据中的潜在规律和特征，为模型训练提供高质量的数据支持；2. 设计、开发和训练人工智能模型，如疾病诊断模型等。利用机器学习、深度学习等算法，不断优化模型性能，提高模型的准确性、稳定性和泛化能力；3.建立模型评估指标体系，对训练好的模型进行严格的评估和测试，及时发现模型存在的问题并进行改进。在模型上线后，持续监控模型的运行状态和性能表现，根据实际情况对模型进行调整和优化；4. 撰写设计报告及相关专利，编写项目相关说明书、操作手册、使用手册和故障说明等文档资料；5.完成领导交办的其他任务。 任职资格:1.具有4年以上人工智能相关工作经验，有生物医学领域人工智能项目经验者优先；有多组学分析、生物自动化工作经验者优先；2.扎实掌握机器学习、深度学习的基本理论和算法，如监督学习、无监督学习、强化学习、神经网络、卷积神经网络、循环神经网络等；3.具备较强的编程能力，熟练掌握 Python、C++ 等编程语言，熟悉数字图像处理、计算机视觉相关技术；4. 具有较好的文档编写能力。,,1.7-2.9万
智联招聘,合肥市包河区东原职业培训学校有限公司,人工智能研发,20-99人,工作职责1. 主导人工智能系统的全链路架构设计，覆盖数据采集、模型训练、推理部署等环节，保障系统在教育场景下的高性能与可扩展性。2. 跟踪AI领域前沿技术，结合职业培训业务需求完成技术选型，推动TensorFlow/PyTorch等框架在教学辅助、智能测评等场景的落地应用。3. 深入理解培训业务痛点，制定AI驱动的解决方案（如智能题库、个性化学习路径），实现技术与教育场景的深度融合。4. 参与AI项目全生命周期管理，协调跨部门资源，确保项目按时交付并达成教学效果提升的核心目标。,1. 计算机、人工智能、电子信息等相关专业本科及以上学历，具备扎实的技术理论基础。2. 精通机器学习经典算法，熟练掌握TensorFlow/PyTorch等深度学习框架，在NLP或计算机视觉领域有实际项目经验。3. 具备从业务需求抽象技术方案的能力，能独立解决AI落地过程中的复杂技术问题。4. 拥有良好的跨部门沟通能力，能高效协同业务团队梳理需求、推动技术方案落地。5. 具备快速学习能力，能紧跟AI技术发展趋势，主动探索新技术在教育场景的创新应用。,7000-14000元
智联招聘,山西好乐农业开发有限公司,人工智能工程师（数字人方向）,20-99人,岗位职责 1. 负责数字人相关AI算法的研发、优化与落地，包括数字人生成、驱动、表情/动作迁移、语音交互等核心模块。​2. 参与AI数字人系统整体架构设计，实现数字人实时渲染、驱动、交互能力。​3. 负责人脸/人体关键点检测、姿态估计、表情捕捉、语音合成（TTS）、语音识别（ASR）等AI模型的训练与优化。​4. 基于深度学习框架进行数字人驱动模型、生成式模型、多模态交互模型的开发与迭代。​5. 负责AI数字人产品的推理优化、部署落地，保证实时性、稳定性与效果体验。​6. 跟踪数字人、AIGC、多模态大模型等前沿技术，完成技术预研与方案落地。​7. 与产品、算法、前端、3D美术团队协同，完成数字人产品全流程开发。,1. 本科及以上学历，计算机、人工智能、软件工程、数学等相关专业。​2. 扎实的机器学习/深度学习基础，熟练使用 PyTorch/TensorFlow 至少一种框架。​3. 熟悉数字人相关AI技术：人脸重建、人体驱动、表情迁移、语音驱动、AIGC生成等。​4. 熟练使用Python开发，熟悉Linux环境、Git、Docker、模型部署流程。​5. 具备以下任一方向实际项目经验优先：数字人、虚拟人、AIGC、CV、NLP、TTS/ASR、多模态交互。​6. 了解3D渲染、Unity/Unreal、OpenGL、实时通信等技术者优先。​7. 具备良好的问题解决能力、学习能力与团队协作精神。 我们希望你 1. 对AI数字人、虚拟形象、智能交互领域有浓厚兴趣与热情。​2. 关注行业前沿，有数字人相关项目、竞赛、开源作品优先。​3. 具备从算法→模型→产品落地的全流程能力。 薪资福利 1. 薪资：10K-20K（根据能力定级，上不封顶）+ 项目奖金 + 年终激励。​2. 福利：五险一金、带薪年假。​3. 成长：核心AI项目、技术分享、前沿研究机会、清晰晋升通道。​4. 氛围：年轻技术团队、弹性工作制、技术导向、自由创新。,1-2万
智联招聘,苏交科,南京-人工智能（硕博）,1000-9999人,需求专业：人工智能、物联网、大模型或桥梁专业，有桥梁结构监测相关项目经历；对应业务院：交通科学研究院--为桥梁等基础设施安全和耐久性提升提供全寿命周期的咨询与服务,,9000-18000元·15薪
智联招聘,璞华国际科技(武汉)有限公司,人工智能算法工程师,500-999人,招聘需求：人工智能算法工程师一、岗位定位负责公司核心产品的AI能力研发，方向为多模态理解与文档智能。二、岗位职责负责图像处理（CV）与自然语言处理（NLP）相结合的算法研发参与OCR后处理、文字识别与语义理解相关的工作参与跨文档智能匹配与差异检测的算法设计与实现跟进多模态大模型（VLM）、AIGC等前沿技术，探索在业务中的落地三、,基础要求：硕士及以上学历，计算机、人工智能、自动化、数学、软件工程等相关专业数学基础扎实，逻辑清晰熟练掌握Python，编码规范熟练使用PyTorch或TensorFlow至少一种深度学习框架技术要求：熟悉计算机视觉（CV）经典任务：图像分类、目标检测、图像分割等熟悉自然语言处理（NLP）基础：Transformer、BERT、文本匹配等理解多模态技术（同时处理图像和文本）加分项：有OCR相关经验有文档理解（LayoutLM、Donut等）经验有多模态大模型（CLIP、BLIP、GPT-4V等）应用经验了解AI Agent或RAG相关技术四、其他信息工作地点：北京 招聘人数：1人经验要求：硕士应届生，或1-3年工作经验均可薪资范围：15K-30K / 月（根据能力面议）,1.5-3万
智联招聘,联想教育科技(北京)有限公司,人工智能专业产品经理（具身智能方向）,100-299人,工作职责：1、负责人工智能专业方向的校企合作专业共建整体方案的制定，对方案竞争力与可实现性、经营效果与品牌质量负责。包含人才培养方案，以及基于校方特点与需求的其它模块的整合设计（如实训室模块、1+x 技能相关模块等）；2、负责人工智能专业方向的人才培养方案的制定，对最终教学成果负责。包含就业方向规划、课程体系方案、实训项目方案、以及实训室或实训基地建设方案等；3、牵头制定人工智能专业方向的营销方案，以及参与售前支持；4、负责相关方案模块的组织开发，以及部分课程的讲授；5、参与教师选拔，负责赋能与指导工作。 任职资格: 1、优秀的（方案）产品力。具有对TO G行业客户的需求关键点的洞察力，有优良的创造方案类产品的产品力。 2、善于结合国家政策、行业趋势、以及市场竞争情况，提出概念创意，并总结提炼所开发产品方案的营销卖点； 3、有良好的组织协调能力与解决问题能力。 4、了解人工智能专业相关行业的相关技术框架，洞察行业市场人才需求趋势，尤其是洞察对大中专学生的就业关键技能要求。 5、有企业实际工作经验者优先、有教研经验、以及有专业共建与实训室类产品解决方案设计经验者优先。,,2-4万
智联招聘,智联猎头,人工智能与控制学岗-航空发动机央企正编,10000人以上,1.负责根据设计、制造、试验、运维等环节的人工智能应用需求，形成高可行性的技术解决方案；2.负责人工智能赋能应用场景的需求辨识与分解；3.支撑人工智能赋能应用的实现与应用验收；4.负责人工智能应用技术发展的中长期路径和实施计划的制定；7.负责人工智能赋能应用体系的建立和完善，如编制结构设计标准和规范，编制指导书，改进流程，建立相关标准等；8.参与人工智能应用相关国际标准选用、采用，收集、转化等基本规则的制定，以及各专业标准的解读、采用与实施；9.负责人工智能落地应用技术经验总结，编制培训教材，参与学术交流。,"：1.研究生以上学历优先，优秀本科生酌情考虑；2.人工智能、计算机、航空发动机、燃气轮机、机械设计制造、飞行器设计制造专业优先；3.具备机器学习、知识图谱、大模型、自然语言处理、计算机视觉等人工智能专业相关技术知识，具备航空发动机领域或离散制造业人工智能赋能应用等背景经验优先；4.熟练使用Python或C++等编程语言,熟悉PyTorch或TensorFlow等深度学习框架；5.具备较强的组织、分析、沟通和协调能力；6.善于总结技术经验，具有撰写技术报告或论文的能力，具有学术交流的经历和经验者优先；7.具有航空院所、航空维修厂工作经验者优先；主责过科研、工程项目，具有通用化、系列化、组合化工程实践经验者优先；具有设计、制造、试验、运维环节赋能应用等实践经验者优先。",1.5-2.5万
智联招聘,南京一山高信息技术有限公司,人工智能,100-299人,1、数据集的整理和处理;2、具备大数据建模及数据挖掘分析能力。,:具有计算机、软件等相关专业。,7000-12000元
智联招聘,探迹科技,人工智能后端销售【B端+五险一金+带薪培训】,1000-9999人,【公司亮点】1、当月薪资当月发放，比如1月1日入职，1月底发放当月新资啦2、入职试用期也购买五险一金，阿里投资头部企业，加速发展，晋升空间大！3、员工福利应有尽有，工作氛围环境超nice!4、近地铁口，地铁12号线 宝田一路C出口走路 3min【岗位职责】1、通过电话/网络/面访向潜在客户推广产品及服务，挖掘客户的项目需求，公司提供资源开发;2、电话讲解及邀约客户+线下拜访沟通演示最终促成成交;3、分析市场动态，制定有效的销售策略4、与企业客户建立深度合作关系，解决产品软件销售过程中的问题，提高客户满意度;5、定期回访客户，做好客情关系的维护【拓客方式多样化】线上电话+邮件+视频会议+线下拜访等(不局限与某一种方式)【需要你是】1、对互联网和ToB产品有了解和认知，认可公司的产品及发展;2、沟通能力强、有一定的抗压能力、目标感强有自己的想法;3、服务意识强、热爱销售工作，承压能力强，勇于挑战高薪；线索库充足，销售周期短，开单迅速！直接签单拿高提成（最快40分钟成交），每月销售激励奖非常丰厚！【我们为你提供】1、底薪6300起+高提成丰厚激励(红包激励+月度奖金+冲刺激励)，综合收入11-30k，月底发当月工资;2、入职即享一周带薪培训，师傅一对一专业带教，手把手教你快速上岗； 3、试用期就买五险一金＋节日礼物＋年度体检＋结婚生子大红包+带薪年假等；4、同事多为95-00后，公司扁平化管理，工作氛围轻松愉快；5、阿里投资头部企业，快速发展期，晋升空间大；6、主管上级和同事们主要来自阿里、百度、字节等互联网大厂优秀销冠及管理骨干，有实力、用心培养团队。【晋升空间】1、晋升频率：每年晋升两次，根据业绩达成可多次调薪，业绩优秀者最快5-8个月晋升主管岗；2、专业线：初级销售——中级销售——高级销售——资深销售——销售专家3、管理线：销售专员——储备主管——销售主管——销售经理——区域负责人,,1-1.5万
智联招聘,中育联教(北京)科技有限公司,人工智能营销经理（base重庆或天津）,20-99人,1.负责完成公司及领导交待的相关工作；制定并执行销售计划，完成公司的销售目标；2.深入了解市场需求和竞争对手情况，为产品开发和市场推广提供建议；3.开发和维护最终用户与渠道客户关系，与客户保持密切联系，提供专业的产品咨询和解决方案；4.跟踪销售项目，及时处理客户反馈，确保客户满意度；5.参与商务谈判、招投标，签订合同并跟进应收款回款；6.搜集并整理市场信息，为公司的市场策略提供参考。• 工作经验：1.熟悉人工智能，大模型，GPU服务器，超算中心，智算集群等知识背景优先考虑；统招本科及以上学历，计算机、人工智能相关专业，留学背景优先。2.具备一定的销售工作经验，对AI人工智能行业有浓厚的兴趣；3.具备良好的沟通能力和谈判技巧，能够与客户保持良好的关系；4.具备较强的学习能力和市场敏锐度，能够快速适应市场变化；5.具备一定的团队协作能力，能够与公司各部门紧密合作。6. 其他：能适应公司快节奏、绩效考核的管理方式；能短期出差。7.在高校行业有高校客户资源和成功经验者优先。,,8000-12000元
智联招聘,珍岛集团,无责8000/29%提点/AI人工智能销售,1000-9999人,已上市（集团性公司，全国4000+员工）工作内容：通过电话销售+面谈的形式与客户对接，了解客户的需求，制定产品方案；跟进渠道商的用户拓展情况，积极推动用户增长，完成公司下达的招商任务;负责市场调研和需求分析，掌握竞争对手市场动态，为公司发展提供建议。,：专科及以上学历，专业不限；对互联网行业有浓厚兴趣且考虑在营销领域发展；有较强的学习能力、沟通能力和适应能力；性格外向，喜欢做与人打交道的工作。发展方向：纵向成长：营销储备干部-智能营销顾问-主管-经理-总监横向成长：见习智能营销顾问-智能营销顾问-经理-商务/助理/行政/人事（转岗）培养模式：入职的前三周：由培训组统一培训入职的前半年：由部门配带教师傅一对一带教，带教目标部门主管应聘流程：报名面试-参加测评-面试-录用-入职其他：上班时间：9：00-18：30 ，法定节假日正常放假；入职购买五险一金（需有毕业证）、员工宿舍、员工餐厅、带薪培训、带薪年假、年度旅游、定期团建、生日祝福、节日福利等；享有带薪培训--系统的岗前培训、岗中培训，团队经理对新人带教培训，日常工作中不定期举行各类职业培训；公司设有按摩房、美甲室、娱乐室、健身房等娱乐设施提供给员工使用；人脉：企业级客户，从业期间积攒高质量资源人脉；氛围：互联网公司，年轻化团队 open 愉悦的工作氛围；,1.3-1.7万
智联招聘,北京贝瑞和康生物技术有限公司,人工智能算法工程师（大模型）,1000-9999人,岗位职责 1. 负责面向医疗领域的语言大模型及多模态模型的开发优化。2. 负责医疗领域智能体的架构设计，结合医疗场景需求、整合多模态数据构建稳定、高效的多轮对话系统。3. 跟踪前沿技术，提出并验证创新解决方案，并推进技术落地（包括但不限于图像数据与文本的联合学习，多模态对齐，医疗问答系统，自动化报告生成，智能辅助诊断等）。4. 探索医疗领域大模型分布式训练加速，模型压缩及混合专家系统训练技术，提升模型性能与资源效率。,1. 硕士及以上学历，计算机科学、软件工程、应用数学、统计数学、生物医学工程、电子工程等相关专业。2.优秀的代码能力，数据结构与基础算法功底，熟练 python 等编程语言；。3. 精通深度学习算法，熟悉至少一种主流深度学习框架（如 PyTorch或 TensorFlow）。4. 熟悉大模型训练过程，包括预训练、SFT、RLHF等阶段，熟悉数据调优和数据增强等关键技术。5. 有较强的系统问题分析经验和能力，能够解决复杂的系统问题。6. 积极乐观，责任心强，工作认真细致，具有良好的团队沟通与协作能力。,1.6-2.3万
智联招聘,中国信息通信研究院,人工智能与无线通信技术研究员26swx004,1000-9999人,岗位职责:1、跟踪国内外人工智能、移动通信、物联网等政策法规、产业趋势、技术路线、标杆案例与商业模式，输出产业分析、技术洞察与竞争格局报告。 2、开展人工智能与无线通信融合方向的理论与关键技术研究，包括但不限于 AI for 5G/5G-A/6G、AI-RAN、语义通信、空天地一体化智能组网等前沿方向，跟踪国际标准与学术进展，形成技术路线与创新方案。 3、研究AI 在重点行业的规模化应用，跟踪企业级 AI 市场、政企数字化转型需求，面向政企、园区、工业等垂直领域，开展AI应用的痛点分析、场景定义与价值评估 4、对接行业协会、科研机构及企业，搭建政产学研合作平台，推动技术成果转化5、交办的其它工作。任职资格:1、 能迅速学习新知识、新技能，能够接受跨学科、跨专业领域的综合性研究及咨询项目的挑战2、 具备人工智能、智能终端、智能装备、移动通信、物联网等产业研究、标准制定或咨询项目经验 3、 熟悉公文写作规范，能独立完成研究分析报告 4、 有较强的团队意识和沟通协调能力，适应能力和抗压能力 5、 能够与客户进行对接和项目交流，把握客户需求,,1-1.5万
智联招聘,湖南筱豪能源集团有限公司,软件及人工智能研发主管,100-299人,岗位职责：1.全面负责公司软件及人工智能领域的研发管理工作，制定研发战略规划、年度研发计划与技术路线，统筹研发项目全流程推进，保障研发目标落地。2.牵头新能源领域相关软件系统、人工智能算法、智能应用产品的研发设计、技术攻关与迭代优化，解决研发过程中的核心技术难题。3.搭建并管理研发团队，制定团队职责与成长路径，开展技术培训与能力建设，打造高绩效、高凝聚力的研发团队4.对接公司业务部门，深度挖掘新能源业务场景需求，将人工智能、软件技术与新能源业务深度融合，推动技术成果转化与落地应用。5.负责外部技术合作、产学研对接等工作，整合行业优质技术资源，提升公司研发技术核心竞争力。,：1.要求985或211院校研究生及以上学历，计算机科学与技术、软件工程、人工智能、自动化、能源信息化等相关专业。2.5年及以上软件研发、人工智能算法研发相关工作经验，3年及以上研发团队管理经验；有新能源行业研发工作经验者优先。3.具备大型软件项目、人工智能项目从0到1的研发落地经验，熟悉新能源行业数字化、智能化应用场景。,1.8-2万
智联招聘,外企德科人力资源服务安徽有限公司,前端开发工程师（人工智能应用中台）,500-999人,,,1-1.3万
智联招聘,哈尔滨普尔斯特科技有限公司,人工智能销售硬件销售,20-99人,【工作内容】- 负责存储类产品、AI人工稚嫩设备及显卡等计算机硬件的市场推广与销售工作；- 与客户进行沟通，了解需求并提供专业的产品解决方案；- 维护现有客户关系，拓展新客户资源，提升公司产品市场份额；- 协助完成销售目标，定期汇报销售进展与市场反馈。【,】- 大专及以上学历，计算机、电子、市场营销等相关专业优先；- 具备良好的沟通能力和客户服务意识，有销售经验者优先；- 熟悉存储产品、AI硬件及显卡等计算机硬件知识，能快速学习并应用；- 工作积极主动，具备较强的责任心和团队合作精神。,4000-8000元
51Job,企服通科技发展（重庆）有限责任公司,人工智能标注6K,50-150人,1.根据优化后的prompt和模型跑出的5个答案，结合业务规则，对prompt和答案做多维度的评估，包括但不限于判断prompt的可用性、答案的可用性、以及评分维度的合理性； 2、统招本科（985/211），文本判断能力较好，内容评估能力较好，规范执行能力较好： 3、朝10晚7，周末双休 薪资福利： 1、综合5000~6000 2、五险，带薪年假、婚假、产假及国家规定其他福利假。,,5-6千
51Job,莱茵技术-商检（青岛）有限公司,人工智能、芯片、自动驾驶认证销售主任,150-500人,"1. Responsible for business development in the fields of functional safety and information security for industrial services; including but not limited to: exploration and cultivation of new customers and providing strategic planning suggestions in combination with local conditions 负责工业服务功能安全及信息安全领域业务开发工作；包括且不限于：新客户发掘与培养，结合当地情况提供战略规划建议 2. Cooperate with T05V Rheinland ISC's operations and project teams to carry out daily operations, project bidding, sales contracts, and ensure payment collection, etc 与德国莱茵TUV ISC运营和项目团队合作，执行日常运营和项目招标、销售合同、确保收款等工作 3. Assist in promotional activities, including preparing and organizing seminars and other marketing activities 协助宣传活动，包括筹备和举办研讨会等市场活动 4. Fully achieve the company's performance goals for employees全面完成公司对员工的绩效目标 Job Requirements 1. Bachelor's degree or above, or more than 5 years of work experiences; including at least 3 years of sales experience 对功能安全，网络信息安全，IOT测试认证业务以及智能机器人行业有一定了解的人可优先考虑本科以上或5年以上从业经验；其中3年以上销售经验 2. Those with certain understanding of functional safety, cybersecurity, IoT testing and certification business, and the intelligent robot industry are preferred 对功能安全，网络信息安全，IOT测试认证业务以及智能机器人行业有一定了解的人可优先考虑； 3. Skilled in market development and acquiring new clients 善于开拓市场，开发新客户 4. Good work initiative and able to adapt to frequent business trips 具备很好地工作主动性，能适应经常出差",,8千-1.2万·13薪
51Job,东莞市华翌精密机械科技有限公司,机器听觉（人工智能/机器学习）研发工程师,50-150人,,机电一体化，自动化，人工智能相关学科知识背景本硕博毕业生,8千-1.5万
51Job,重庆趣沃科技有限公司,自动驾驶数据工程师,少于50人,】 - 负责自动驾驶系统中数据的采集、清洗、标注及管理，确保数据质量与可用性； - 参与构建和优化数据处理流程，提升数据处理效率与自动化水平； 【,】 - 大专及以上学历，计算机、电子工程、数学或相关专业背景； - 熟悉Python、SQL等编程语言，具备良好的数据处理能力； - 对自动驾驶领域有一定了解者优先，具备数据标注、数据集构建经验者优先； - 具备良好的沟通能力和团队协作精神，适应快速变化的工作环境。,7千-1万
51Job,企服通科技发展（重庆）有限责任公司,ai大模型标注5K+周末休,50-150人,1、处理模型中各类真实场景的图像、文本、视频等素材信息，标注大量数据让图像与文本建立精准关联； 2、统招本科，了解大模型基础原理，拥有VLM文字数据标注方向数据标注经验； 作息安排 1、朝10晚7，每周轮休2天（大部分休周末） 2、如果是国家法定节假日加班有三倍薪资。 薪资福利： 1、综合4000~5000 2、带薪年假、婚假、产假及国家规定其他福利假。,,4-5千
51Job,重庆兆光科技股份有限公司,AI算法工程师,50-150人,1、技术人员职位，在上级的领导和监督下定期完成量化的,，并能独立处理和解决所负责的任务； 2、协助开发大模型，负责组织数据和实施数据分析； 3、完成数据建模、数据分析、应用软件呈现的功能； 4、跟踪模型运算情况，解决分析过程遇到的问题； 5、建立、维护分析工作的相关文档。 任职资格 1、有编程基础、模型知识全面； 2、熟练掌握MATLAB或者java等其他编程工具； 3、了解CNN、RNN等深度学习框架、Transform等。,6-9千
51Job,东莞市华翌精密机械科技有限公司,机器视觉（人工智能，机器学习）研发工程师,50-150人,,机电一体化，自动化，人工智能相关学科知识背景本硕博毕业生,8千-1.5万
51Job,前锦网络信息技术（上海）有限公司,AI智能体应用开发工程师,5000-10000人,1.智能体开发与维护，根据业务需求开展相关的智能体设计、开发、落地工作，使用平台进行工作流搭建提示词编写，支持业务测试和落地; 2.平台二次开发:根据项目需求对现有平台进行必要的定制化开发; 3.知识库构建:设计并实现高效的知识库系统，支持智能体的回答质量，构建基准数据集对知识库进行性能测试 4.跟踪和研究前沿的AI技术，不限于深度学习、机器学习及大模型算法研究等，可以针对特定业务需求设计算法解决方案，并将其应用到实际项目中。,教育背景：计算机科学、人工智能、数学或相关领域的本科及以上学历，5年以上工作经验，包括2年以上AI应用、Agent相关开发经验，3年以上java开发经验。​ 技术能力： 1.精通AI核心技术体系(大模型、NLP、机器学习、智能体、RAG等)，深刻理解其底层原理与架构逻辑，熟悉Transformer架构； 2.具备从0到1搭建企业级AI架构的经验，熟练掌握架构设计方法论，能独立输出完整的架构设计文档; 3.熟悉主流AI框架/平台(如TensorFlow/PyTorch、dify/coze/ragflow、各类大模型服务平台)，具备跨技术栈(云计算、大数据、中间件)的整合能力。 4.具备出色的分析问题和解决问题的能力，能够将模糊的业务需求转化为清晰的技术方案。 5.具备良好的沟通能力和团队协作精神。,2-3万·14薪
51Job,企服通科技发展（重庆）有限责任公司,ai模型标注5K,50-150人,1、针对模型中生成的两个系统，哪个系统产生的音频对任务完成的更好、产出的音频效果更好，需基于用户视角、推断最后会采用哪个音频，来写下判断依据； 2、统招本科，语音大模型标注/文本标注经验/SFT或RM经验； 3、9:30~18:30，每周轮休2天（大部分休周末）； 薪资福利： 1、综合4000~5000 2、五险、带薪年假、婚假、产假及国家规定其他福利假。,,4-5千
51Job,重庆兆光科技股份有限公司,大模型训练师,50-150人,负责研究和实现大规模语言模型的训练和优化，以提高模型的质量和性能。需要具备大量编程经验，熟悉深度学习框架，并了解大规模数据处理技术。主要职责包括但不限于： - 设计和实现训练计划，并使用相关工具和框架进行训练和优化； - 至少熟练掌握一门编程语言，能实现数据预处理、数据清洗和数据增强等环节编程需要； - 研究并实现新的训练技术和策略，以提高模型的效率和可靠性； - 参与模型设计和评估，并撰写相应的技术报告； - 协助项目经理完成项目计划，并按照项目要求进行模型训练和优化。,- 具备硕士及以上学历，计算机、神经科学或数学等相关专业； - 至少具有大规模语言模型训练经验，有独立的模型训练项目经验； - 熟悉Transform； - 熟悉模型的准确性提升理论及方法； - 了解机器学习领域相关知识，熟悉数据增强等技术； - 具备良好的沟通能力和团队合作精神，能够与项目经理和其他团队成员进行有效的沟通。,1.2-2万
51Job,奥特斯（中国）有限公司,Data Analyst,1000-5000人,"Your Responsibilities: 1. Optimized data and databases for fast and reliable access to ensure required analysis and monitoring. 2. Structured and standardized processes to ensure comparability and quality. 3. Further development of data diversity for constant improvement and analysis options. 4. More efficient and error-free data integration as well as interface between department integration team quality. 5. Better communication between the specialist departments, identifying new data sources and comparing the required preparation/formatting for statistical evaluations. 6. Faster and more efficient processing of projects and qualifications through detailed statistical evaluations. 7. Key Responsibilities (tasks) 8. Development, maintenance and testing of databases and architecture and improving data quality, reliability, efficiency and accessibility. 9. Development of processes and procedures for defining data sets for data modelling and data mining. 10. Discovery of opportunities for new data integrations in all areas and production departments. 11. Support for data integration and development of best practice processes and specifications. 12. Interface to other IT departments in relation to process data management, requirements for statistical evaluations, databases and software (MES, SAP...) 13. Support and collaboration on projects and qualifications related to data analysis and visualization Your Profile 1. Education: Bachelor (or above) in Applied Mathematics or Science in business mathematics or Engineering relevant 2. Knowledge of LLM / Agent / RAG 3. Knowledge of Database structure and strong mathematics skills 4. Knowledge in developing SQL queries 5. Knowledge in statistic and statistic software (JMP, Minitab) 6. Experience in working with intercultural teams preferred 7. Acceptance to report relationship remotely during work 8. Semiconductor and electronics industry related experience preferred (Substrate industry related experience will be of advantage) 9. Experience in Multi-Agent co-work building with Tool calling &amp; API Integration preferred Once a resume is submitted to the recruiting company, it is considered that the applicant agrees to the collection, processing, use, and disclosure of their resume and other personal information by the recruiting company for recruitment purposes. 一旦向招聘公司投递简历，即视为应聘者同意招聘公司基于招聘目的而对其简历和其他个人信息进行收集、处理、使用和披露等",,1-1.3万·13薪
